repo_id,repo_full_name,owner,repo_name,repo_url,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,default_branch,archived,disabled,fork,source,sample_query,sampled_at
1028496120,feiniao25789/feiniao-vpn,feiniao25789,feiniao-vpn,https://github.com/feiniao25789/feiniao-vpn,飞鸟VPN，无需配置，一键翻墙，无限流量，不限网速，多端通用，每日可领免费时长。,Python,7,0,7,0,2025-07-29T16:02:55Z,2026-06-07T17:38:36Z,2026-06-07T17:38:32Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
953658538,moritztng/tt-bio,moritztng,tt-bio,https://github.com/moritztng/tt-bio,"Boltz-2, BoltzGen, ESMFold-2 implementation for inference on Tenstorrent hardware",Python,98,12,98,3,2025-03-23T21:08:48Z,2026-06-07T17:38:36Z,2026-06-07T17:38:32Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1153178500,jgravelle/jcodemunch-mcp,jgravelle,jcodemunch-mcp,https://github.com/jgravelle/jcodemunch-mcp,"The leading, most token-efficient MCP server for GitHub source code exploration via tree-sitter AST parsing",Python,1899,294,1899,1,2026-02-09T01:58:27Z,2026-06-07T17:38:34Z,2026-06-07T17:38:31Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1147208835,chenxi750328ai/agent-jianghu,chenxi750328ai,agent-jianghu,https://github.com/chenxi750328ai/agent-jianghu,agent江湖 - 多Agent协作平台,Python,5,1,5,7,2026-02-01T11:37:49Z,2026-06-07T17:38:34Z,2026-06-07T17:38:31Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1192353454,ChengjinLii/studyhub,ChengjinLii,studyhub,https://github.com/ChengjinLii/studyhub,"StudyHub: Campus Resources, Content, and AI Assistance",Python,14,1,14,1,2026-03-26T06:06:54Z,2026-06-07T17:38:34Z,2026-06-07T17:38:30Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1070192329,pdftl/pdftl,pdftl,pdftl,https://github.com/pdftl/pdftl,"PDF CLI pipeline: merge, split, crop, rotate, compress, extract images, add text and more. Modern pdftk replacement, powered by pikepdf/qpdf.",Python,7,1,7,0,2025-10-05T13:07:03Z,2026-06-07T17:38:31Z,2026-06-07T17:38:28Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1076407615,Peuqui/AIfred-Intelligence,Peuqui,AIfred-Intelligence,https://github.com/Peuqui/AIfred-Intelligence,"🤵 AIfred-Intelligence — self-hosted Multi-Agent Assistant with Debate Modes (Symposion/Tribunal), Voice (STT + Streaming-TTS), RAG with Long-Term Memory, Web Research and Tool-Calling. Reachable via Web-UI or Telegram/Discord/Email/EPIM. Multi-Backend: llama-swap, Ollama, vLLM, TabbyAPI.",Python,32,2,32,1,2025-10-14T20:18:27Z,2026-06-07T17:38:31Z,2026-06-07T17:38:27Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
377261499,per2jensen/dar-backup,per2jensen,dar-backup,https://github.com/per2jensen/dar-backup,Long-term archival backups for Linux — with integrity you can prove and repair,Python,41,4,41,0,2021-06-15T18:38:03Z,2026-06-07T17:38:31Z,2026-06-07T17:38:27Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1205861457,ropkiplagat/fxpulse,ropkiplagat,fxpulse,https://github.com/ropkiplagat/fxpulse,FXPulse AI Forex Trading Bot,Python,5,0,5,0,2026-04-09T10:56:06Z,2026-06-07T17:38:29Z,2026-06-07T17:38:26Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
1044894570,karmyshunde-sudo/fish-etf,karmyshunde-sudo,fish-etf,https://github.com/karmyshunde-sudo/fish-etf,,Python,5,4,5,0,2025-08-26T11:06:20Z,2026-06-07T17:38:36Z,2026-06-07T17:38:32Z,main,False,False,False,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,2026-06-07T17:38:40.441780+00:00
